Sample	posterior	ESS(posterior)	likelihood	prior	
29000	-110276.56504781754	2.8	-110529.2156727118	252.6506248942609	
30000	-110267.91549123076	2.7	-110523.58080015368	255.6653089229249	
31000	-110265.30679000998	2.7	-110522.3749457875	257.06815577751104	
32000	-110254.86675418181	2.7	-110511.00275172052	256.13599753870614	
33000	-110265.60504439117	2.6	-110518.02889377007	252.42384937889892	
34000	-110268.81944027782	2.6	-110520.95633598958	252.13689571176408	
35000	-110260.20592496515	2.5	-110514.44176808807	254.2358431229186	
36000	-110262.115701386	2.5	-110516.40105302747	254.2853516414657	
37000	-110244.74436815537	2.6	-110497.17157227886	252.42720412349155	
38000	-110244.30153647227	2.6	-110497.75900370404	253.45746723176978	
39000	-110249.54720867952	2.6	-110504.52579051873	254.97858183921153	
40000	-110249.68414022737	2.6	-110504.6471999997	254.96305977233408	
41000	-110258.82293070116	2.6	-110512.35773041037	253.5347997092	
42000	-110247.6439619165	2.6	-110502.73994265395	255.09598073745155	
43000	-110243.45375550837	2.6	-110496.87609538405	253.4223398756921	
44000	-110245.10463956268	2.6	-110503.24135060253	258.1367110398558	
45000	-110236.5265110062	2.6	-110492.96953121433	256.4430202081221	
46000	-110249.25121453957	2.6	-110505.36386724522	256.11265270565167	
47000	-110258.47163486083	2.6	-110513.31726641173	254.8456315508929	
48000	-110257.81994155006	2.6	-110512.23662755401	254.4166860039495	
49000	-110201.70935067775	2.8	-110456.60640607253	254.897055394782	
50000	-110195.44634557639	2.9	-110449.29065266628	253.8443070898989	
51000	-110205.50240146431	3.0	-110460.82654266969	255.3241412053738	
52000	-110199.32348742468	3.0	-110453.33327574567	254.0097883209773	
53000	-110200.4605320699	3.0	-110455.12677994654	254.66624787663488	
54000	-110194.17975461006	3.0	-110447.98676667239	253.80701206232857	
55000	-110195.11399253375	3.0	-110450.04177056147	254.92777802772446	
56000	-110203.0003761522	3.0	-110455.34398821027	252.34361205807159	
57000	-110192.84321497403	3.0	-110446.32980818496	253.48659321094232	
58000	-110195.1436892691	2.9	-110447.75919298679	252.61550371769266	
59000	-110187.55666414043	2.9	-110441.99620904925	254.43954490882322	
60000	-110185.64590384474	2.9	-110438.97239690676	253.32649306201648	
61000	-110184.95541388013	2.9	-110436.31801804148	251.362604161352	
62000	-110186.53593899524	2.9	-110438.77715555986	252.24121656462097	
63000	-110188.93187854046	2.9	-110443.86208679521	254.9302082547564	
64000	-110188.30736539538	2.8	-110444.54576414084	256.238398745466	
65000	-110189.10772370832	2.8	-110444.04896351675	254.9412398084242	
66000	-110186.51284282167	2.8	-110439.98775478882	253.47491196714435	
67000	-110188.70407198394	2.7	-110442.68821083265	253.98413884871377	
68000	-110186.99216446749	2.7	-110442.96863745706	255.97647298956434	
69000	-110179.29256185476	2.7	-110433.77195498427	254.47939312950712	
70000	-110177.45513834109	2.7	-110430.81485378058	253.35971543950046	
71000	-110186.65012505172	2.7	-110440.23007904291	253.57995399119176	
72000	-110190.06158026692	2.6	-110445.0987884467	255.03720817978615	
73000	-110198.23916779632	2.6	-110452.05475712926	253.81558933293314	
74000	-110198.92866930527	2.6	-110454.30008637623	255.3714170709614	
75000	-110194.29843187857	2.6	-110447.79942644462	253.50099456603544	
76000	-110188.59947225657	2.6	-110443.50206178216	254.90258952558565	
77000	-110198.52734093796	2.6	-110449.37120591705	250.84386497908784	
78000	-110199.09527567087	2.6	-110452.63800076314	253.5427250922592	
79000	-110191.90370407152	2.6	-110447.59912215744	255.69541808591615	
80000	-110187.52991357823	2.6	-110443.443812598	255.91389901976729	
81000	-110188.38789064472	2.6	-110438.89510655083	250.50721590611212	
82000	-110178.64876452586	2.6	-110433.07461726572	254.4258527398624	
83000	-110183.3093388528	2.6	-110440.20393783739	256.89459898458193	
84000	-110177.39180714468	2.6	-110430.29308807586	252.901280931176	
85000	-110179.23977120685	2.6	-110434.54987228144	255.31010107459448	
86000	-110176.1220008512	2.6	-110431.33772184534	255.21572099413075	
87000	-110178.47019588211	2.6	-110434.65136089266	256.1811650105537	
88000	-110182.2680207494	2.6	-110439.38386117491	257.11584042550754	
89000	-110195.13500354599	2.6	-110448.79714938786	253.66214584187088	
90000	-110199.35930943534	2.6	-110450.34012619276	250.98081675742188	
91000	-110189.85018588734	2.6	-110447.14714731181	257.2969614244744	
92000	-110183.6177741453	2.6	-110437.22212696755	253.604352822254	
93000	-110187.45176871556	2.6	-110440.86070348493	253.40893476937185	
94000	-110196.59547107307	2.6	-110449.86860103281	253.27312995973767	
95000	-110201.5272753097	2.6	-110454.11250429768	252.58522898798117	
96000	-110195.96517869989	2.6	-110449.41160362397	253.4464249240781	
97000	-110193.17931035916	2.7	-110448.64453917078	255.46522881161755	
98000	-110190.63872796185	2.7	-110445.3876276432	254.74889968134713	
99000	-110192.943505886	2.7	-110444.39940776925	251.45590188324616	
100000	-110187.67690166252	2.7	-110441.05099781217	253.37409614965475	
101000	-110191.78218927934	2.7	-110446.88295401078	255.10076473144076	
102000	-110190.95270270998	2.7	-110445.79027240751	254.8375696975335	
103000	-110188.46080960872	2.8	-110444.12130570863	255.66049609991123	
104000	-110195.78597967076	2.8	-110452.42939478563	256.6434151148688	
105000	-110207.03301971692	2.8	-110459.70101053239	252.66799081546526	
106000	-110201.39153116554	2.8	-110453.37729609454	251.98576492898786	
107000	-110207.66222763408	2.8	-110457.8501619195	250.18793428542986	
108000	-110204.55884209783	2.9	-110458.84018616998	254.28134407215464	
109000	-110197.9640882821	2.9	-110450.51013360347	252.5460453213793	
110000	-110195.66305831575	2.9	-110450.92705685899	255.2639985432329	
111000	-110183.52352653079	2.9	-110439.98901468766	256.4654881568679	
112000	-110182.65058263215	3.0	-110440.59774436816	257.94716173600824	
113000	-110188.40430280525	3.0	-110443.8592707354	255.45496793014456	
114000	-110177.72214261472	3.0	-110433.25040375945	255.5282611447287	
115000	-110186.42218922681	3.0	-110440.79322571351	254.37103648669327	
116000	-110195.07209155119	3.1	-110446.03668901008	250.96459745889337	
117000	-110185.70175169175	3.1	-110438.90355361186	253.20180192009894	
118000	-110188.16568737017	3.1	-110443.30323836685	255.13755099667137	
119000	-110194.47779371886	3.2	-110447.14692416761	252.66913044875207	
120000	-110180.55107662767	3.2	-110435.26076354343	254.70968691574953	
121000	-110186.32283742297	3.2	-110439.47719977629	253.15436235331572	
122000	-110190.54131730266	3.2	-110444.74280402326	254.20148672059977	
123000	-110192.40180331389	3.3	-110445.22020522441	252.81840191052927	
124000	-110181.91954484869	3.3	-110436.86022976373	254.9406849150425	
125000	-110192.91557295811	3.3	-110447.08599466224	254.17042170412967	
126000	-110189.45251854708	3.3	-110442.95785897582	253.50534042872644	
127000	-110184.956479275	3.4	-110437.74308867865	252.78660940364202	
128000	-110186.81738936357	3.4	-110440.08588437497	253.26849501139833	
129000	-110183.62197359485	3.4	-110438.57738021287	254.95540661801417	
130000	-110192.11909280693	3.5	-110448.28918881713	256.1700960102038	
131000	-110194.86272705662	3.5	-110449.46941839573	254.60669133911287	
132000	-110198.25055480623	3.5	-110450.94972841186	252.69917360561672	
133000	-110187.7969102002	3.5	-110441.10139533537	253.30448513517592	
134000	-110201.37290481037	3.6	-110455.34913869877	253.97623388840262	
135000	-110194.41660789713	3.6	-110448.56734586011	254.15073796297608	
136000	-110195.61201987232	3.6	-110452.10560756388	256.49358769155447	
137000	-110201.92245584888	3.7	-110454.17068122872	252.2482253798321	
138000	-110205.4868853266	3.7	-110457.45880948805	251.9719241614523	
139000	-110206.9087126451	3.8	-110460.68270472942	253.77399208432138	
140000	-110207.82364959676	3.8	-110460.86262051928	253.0389709225243	
141000	-110198.00178703177	3.8	-110453.79386739442	255.79208036264342	
142000	-110194.25884795649	3.8	-110450.68748642519	256.4286384687049	
143000	-110185.05986764964	3.9	-110439.38594769296	254.32608004332369	
144000	-110199.06915255434	3.9	-110453.86037622986	254.79122367551483	
145000	-110196.29921690313	3.9	-110453.39422601157	257.0950091084368	
146000	-110197.07187682822	4.0	-110452.11298900706	255.04111217883204	
147000	-110202.80635064388	4.0	-110457.29056912693	254.48421848305384	
148000	-110198.91693458155	4.0	-110453.01701794635	254.10008336480524	
149000	-110196.85832790476	4.1	-110451.18622378084	254.3278958760809	
150000	-110196.00676424407	4.1	-110448.65859773337	252.65183348930674	
151000	-110198.37811410996	4.1	-110450.98164928897	252.60353517900563	
152000	-110193.2053204128	4.2	-110446.19404713692	252.98872672410852	
153000	-110196.56305455898	4.2	-110450.59771295855	254.03465839957096	
154000	-110194.51563329613	4.2	-110450.22103234581	255.705399049672	
155000	-110192.96868938592	4.3	-110447.0337729599	254.06508357398178	
156000	-110205.04496762536	4.3	-110456.26005970003	251.21509207467014	
157000	-110016.29543536306	5.1	-110269.43288405864	253.13744869557425	
158000	-109988.21379644774	6.1	-110242.56094234061	254.34714589286736	
159000	-109816.49703942401	9.3	-110073.11781363825	256.6207742142406	
160000	-109801.00420590852	11.4	-110056.52114736855	255.5169414600305	
161000	-109797.73415920293	12.6	-110053.46291105548	255.72875185255398	
162000	-109798.16002218053	13.1	-110052.94560210175	254.7855799212202	
163000	-109811.9734589954	13.1	-110066.16226441292	254.18880541752614	
164000	-109819.4581779089	12.8	-110069.93429456124	250.4761166523327	
165000	-109814.01286498636	12.3	-110068.95182423589	254.93895924953134	
166000	-109810.2991486374	11.9	-110061.06262952795	250.7634808905586	
167000	-109798.4092076014	11.5	-110056.91876195901	258.5095543576015	
168000	-109787.21705633232	11.1	-110040.05669413922	252.83963780689842	
169000	-109785.39718998283	10.7	-110042.00510559046	256.60791560762686	
170000	-109778.11679679257	10.2	-110033.83061138354	255.71381459096622	
171000	-109789.76506052601	9.7	-110043.17356994329	253.40850941727373	
172000	-109784.60911857072	9.2	-110037.58455089567	252.97543232495215	
173000	-109778.82699048806	8.8	-110031.43413371037	252.6071432223105	
174000	-109779.44874732429	8.4	-110034.24961273134	254.80086540704005	
175000	-109777.13182017683	8.1	-110028.95288231561	251.82106213879143	
176000	-109774.4741725844	7.8	-110027.48629095877	253.01211837435412	
177000	-109797.9921654049	7.5	-110050.65166526467	252.65949985977207	
178000	-109778.94352381298	7.2	-110032.3855073458	253.44198353281675	
179000	-109777.35339928532	6.9	-110032.03934265973	254.68594337440953	
180000	-109779.19096193612	6.7	-110035.18744411622	255.9964821800977	
181000	-109787.55869902813	6.4	-110038.25245349889	250.69375447076183	
182000	-109786.52195549439	6.2	-110034.57729108499	248.05533559059748	
183000	-109781.45905192128	6.0	-110036.49922137648	255.04016945519584	
184000	-109791.2731757285	5.9	-110044.02919380066	252.75601807216125	
185000	-109788.05877758206	5.7	-110041.08576173687	253.02698415480856	
186000	-109719.7346992663	5.6	-109974.45019614094	254.71549687465262	
187000	-109719.7652752225	5.4	-109973.65490978329	253.8896345607959	
188000	-109717.26674827316	5.3	-109969.90945655014	252.64270827697717	
189000	-109714.43361074696	5.1	-109967.14755016561	252.71393941864594	
190000	-109708.63584300676	5.0	-109964.66368143538	256.0278384286181	
191000	-109718.85719575627	4.9	-109972.74451412671	253.88731837043858	
192000	-109712.13784804379	4.8	-109968.06575705037	255.92790900658872	
193000	-109714.82894792761	4.7	-109970.98600027969	256.1570523520838	
194000	-109711.18756873948	4.6	-109967.04245085243	255.85488211294455	
195000	-109719.69008474224	4.5	-109971.01787973169	251.32779498946184	
196000	-109710.4355121433	4.4	-109963.63867440514	253.20316226184215	
197000	-109718.45677187192	4.4	-109972.76398835727	254.30721648534598	
198000	-109709.87915256858	4.3	-109965.1164034308	255.23725086222322	
199000	-109703.75170333928	4.2	-109955.96555121613	252.2138478768451	
200000	-109654.37009082963	4.1	-109907.28490366534	252.91481283571053	
201000	-109657.12412517125	4.1	-109912.19743495581	255.07330978456724	
202000	-109644.26404885511	4.0	-109899.59482921175	255.3307803566414	
203000	-109641.832117242	3.9	-109895.22077785638	253.38866061437514	
204000	-109606.18355431175	3.9	-109861.37258944717	255.18903513541716	
205000	-109603.46220792294	3.8	-109855.94828097486	252.48607305191265	
206000	-109599.91016368505	3.8	-109853.11570130145	253.20553761639505	
207000	-109586.71009605261	3.7	-109840.5198010974	253.80970504478873	
208000	-109585.50286404551	3.7	-109835.2313038194	249.72843977388285	
209000	-109584.40646035326	3.6	-109838.08520455222	253.67874419895938	
210000	-109578.29436475941	3.6	-109832.37658703742	254.08222227801053	
211000	-109580.6813807758	3.5	-109831.13031115691	250.44893038111883	
212000	-109573.3758196968	3.5	-109827.29961403883	253.92379434202735	
213000	-109573.27491786066	3.5	-109827.87783292311	254.60291506245852	
214000	-109570.71670614579	3.4	-109825.4320088379	254.71530269211917	
215000	-109578.17163892186	3.4	-109829.54706285195	251.37542393008655	
216000	-109578.17454333157	3.4	-109831.16866427426	252.99412094269397	
217000	-109576.97476064053	3.3	-109829.156455545	252.18169490448017	
218000	-109566.59001097083	3.3	-109821.83802149077	255.24801051993612	
219000	-109584.71233964569	3.3	-109834.46749411637	249.7551544706796	
220000	-109572.54048277214	3.2	-109821.10434698522	248.56386421307786	
221000	-109569.89224838014	3.2	-109822.82885115816	252.9366027780248	
222000	-109564.95952044046	3.2	-109817.04758091492	252.08806047446228	
223000	-109561.14193893193	3.1	-109815.64116630929	254.49922737735358	
224000	-109564.70406872596	3.1	-109820.70329020618	255.99922148022551	
225000	-109567.75167517691	3.1	-109822.18993758707	254.43826241015213	
226000	-109568.2572467699	3.1	-109823.8980285941	255.64078182420732	
227000	-109567.72648623979	3.0	-109822.12282671737	254.39634047758676	
228000	-109571.65922026268	3.0	-109821.69646187696	250.03724161428335	
229000	-109573.22681466016	3.0	-109827.89513877287	254.66832411271062	
230000	-109583.7856113108	3.0	-109838.2929219888	254.50731067800174	
231000	-109585.14034804047	2.9	-109840.3930987789	255.25275073843883	
232000	-109580.39141037346	2.9	-109833.31706377747	252.92565340401075	
233000	-109582.36691226608	2.9	-109835.88700571179	253.5200934457128	
234000	-109580.36305102521	2.9	-109829.30970471568	248.94665369046035	
235000	-109569.82961746027	2.9	-109827.43636174955	257.60674428928405	
236000	-109574.77119806572	2.9	-109826.41026192723	251.63906386151905	
237000	-109581.30463715686	2.8	-109833.06693542961	251.76229827274722	
238000	-109579.59058510028	2.8	-109828.56616903291	248.97558393263836	
239000	-109572.45404125197	2.8	-109826.68524991021	254.23120865824424	
240000	-109589.98313253852	2.8	-109841.51462774936	251.53149521085146	
241000	-109580.38466361535	2.8	-109834.64726159861	254.26259798326763	
242000	-109582.78830972622	2.8	-109836.38401360808	253.5957038818666	
243000	-109581.91578673683	2.7	-109831.62198501869	249.70619828185065	
244000	-109569.45589531027	2.7	-109824.72926351141	255.27336820115082	
245000	-109568.37729219436	2.7	-109824.26276687243	255.8854746780709	
246000	-109570.09770713783	2.7	-109822.04677406838	251.94906693054747	
247000	-109566.76010482015	2.7	-109821.86539820906	255.1052933889196	
248000	-109558.56580414584	2.7	-109813.65918709013	255.0933829442956	
249000	-109552.08584560802	2.7	-109807.79829330157	255.7124476935584	
250000	-109568.55823246895	2.7	-109822.96630095548	254.4080684865399	
251000	-109555.74236865697	2.6	-109811.30454490831	255.56217625135298	
252000	-109544.43283894635	2.6	-109802.09809271383	257.66525376748785	
253000	-109549.69024123614	2.6	-109802.43444356172	252.74420232558467	
254000	-109440.43180297494	2.6	-109691.04839593066	250.61659295571093	
255000	-109433.61790102343	2.6	-109685.95736405755	252.33946303412287	
256000	-109420.48937871862	2.6	-109671.52045359644	251.03107487782862	
257000	-109432.52688651887	2.6	-109686.1278376858	253.60095116693225	
258000	-109419.27733255702	2.6	-109672.68551102653	253.40817846951467	
259000	-109412.87942219377	2.6	-109668.67798805806	255.7985658642883	
260000	-109408.3668398798	2.6	-109663.1798915172	254.81305163738855	
261000	-109408.94647772532	2.6	-109662.16146285649	253.2149851311639	
262000	-109418.74420596674	2.6	-109672.62167098321	253.8774650164659	
263000	-109422.48906026118	2.6	-109674.07334615715	251.5842858959659	
264000	-109432.73522574871	2.5	-109684.65267194291	251.91744619419603	
265000	-109425.51625101508	2.5	-109679.03985072684	253.52359971176176	
266000	-109428.44803244945	2.5	-109682.65660447328	254.20857202381788	
267000	-109418.74849566755	2.5	-109671.96152212951	253.213026461961	
268000	-109421.33591018061	2.5	-109674.79930641016	253.46339622954397	
269000	-109420.5363414461	2.5	-109674.39240504336	253.85606359725588	
270000	-109414.10416596736	2.5	-109666.65626193312	252.5520959657638	
271000	-109413.22816952341	2.5	-109666.72442561509	253.4962560916729	
272000	-109413.68892554683	2.5	-109668.00007658082	254.3111510339949	
273000	-109427.41215162433	2.5	-109680.93972084438	253.52756922004997	
274000	-109422.01186083545	2.5	-109679.97110447622	257.9592436407705	
275000	-109425.19349899373	2.5	-109678.49835192453	253.30485293079371	
276000	-109417.32983600345	2.5	-109671.54240852702	254.21257252356213	
277000	-109412.02017285749	2.5	-109664.79372281821	252.7735499607245	
278000	-109419.1234806719	2.5	-109672.4341366626	253.31065599070809	
279000	-109433.90147732157	2.5	-109685.52486156346	251.6233842418886	
280000	-109428.6667431451	2.4	-109680.7873031358	252.1205599907005	
281000	-109433.25948899891	2.4	-109685.32243886571	252.06294986680447	
282000	-109422.4071906446	2.4	-109676.4149495904	254.0077589457976	
283000	-109425.43920393728	2.4	-109677.72705480408	252.2878508668138	
284000	-109425.83332637974	2.4	-109676.29171405987	250.4583876801311	
285000	-109418.48322026385	2.4	-109671.15962770392	252.67640744006388	
286000	-109411.2868659522	2.4	-109660.77728675207	249.4904207998594	
287000	-109411.22639162959	2.4	-109663.28913576952	252.0627441399334	
