. Sequence file : [run5.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.56923   0.15665  -0.86230   0.13642  
      	     	          	           	          	           	             	                                      	 0.05819   0.99593   0.25964  -1.31375  

  #21	76   	-31610.13999	Yes        	4        	0.570    	0.000    	 0.19090   0.31368   0.31368   0.18175	-1.34608   0.23964   1.04715   0.05929  
      	     	          	           	          	           	             	                                      	 0.14584  -0.76649   0.18469   0.43596  
      	     	          	           	          	           	             	                                      	 0.63728   0.18470  -0.97612   0.15415  
      	     	          	           	          	           	             	                                      	 0.06227   0.75242   0.26604  -1.08074  

  #22	76   	-32398.12568	Yes        	4        	0.570    	0.000    	 0.17801   0.31735   0.32696   0.17768	-1.30000   0.21938   1.00802   0.07260  
      	     	          	           	          	           	             	                                      	 0.12305  -0.81525   0.15539   0.53681  
      	     	          	           	          	           	             	                                      	 0.54879   0.15082  -0.84924   0.14963  
      	     	          	           	          	           	             	                                      	 0.07273   0.95878   0.27534  -1.30685  

  #23	76   	-31166.39524	Yes        	4        	0.570    	0.000    	 0.19087   0.29824   0.33419   0.17669	-1.13336   0.26413   0.82019   0.04903  
      	     	          	           	          	           	             	                                      	 0.16905  -0.93653   0.24975   0.51774  
      	     	          	           	          	           	             	                                      	 0.46845   0.22288  -0.85524   0.16390  
      	     	          	           	          	           	             	                                      	 0.05296   0.87391   0.31000  -1.23687  

  #24	76   	-31443.10786	Yes        	4        	0.570    	0.000    	 0.18508   0.31959   0.32293   0.17240	-1.30894   0.20974   1.00078   0.09843  
      	     	          	           	          	           	             	                                      	 0.12146  -0.75930   0.17266   0.46518  
      	     	          	           	          	           	             	                                      	 0.57357   0.17088  -0.91133   0.16688  
      	     	          	           	          	           	             	                                      	 0.10567   0.86237   0.31260  -1.28064  

  #25	76   	-32418.33677	Yes        	4        	0.570    	0.000    	 0.19576   0.30751   0.31852   0.17821	-1.13587   0.20912   0.86503   0.06172  
      	     	          	           	          	           	             	                                      	 0.13313  -0.85181   0.17262   0.54607  
      	     	          	           	          	           	             	                                      	 0.53164   0.16665  -0.87611   0.17782  
      	     	          	           	          	           	             	                                      	 0.06780   0.94227   0.31783  -1.32789  

  #26	76   	-32406.89677	Yes        	4        	0.570    	0.000    	 0.18705   0.31665   0.30567   0.19063	-1.15977   0.23056   0.86685   0.06236  
      	     	          	           	          	           	             	                                      	 0.13620  -0.83455   0.16034   0.53801  
      	     	          	           	          	           	             	                                      	 0.53046   0.16610  -0.89916   0.20260  
      	     	          	           	          	           	             	                                      	 0.06119   0.89369   0.32487  -1.27974  

  #27	76   	-31952.67371	Yes        	4        	0.570    	0.000    	 0.17098   0.32970   0.31231   0.18701	-1.47628   0.26690   1.16093   0.04845  
      	     	          	           	          	           	             	                                      	 0.13841  -0.74649   0.16270   0.44538  
      	     	          	           	          	           	             	                                      	 0.63558   0.17175  -0.95815   0.15082  
      	     	          	           	          	           	             	                                      	 0.04430   0.78522   0.25187  -1.08138  

  #28	76   	-31025.60077	Yes        	4        	0.570    	0.000    	 0.18235   0.32789   0.31768   0.17207	-1.19799   0.26387   0.86803   0.06608  
      	     	          	           	          	           	             	                                      	 0.14675  -0.84815   0.18028   0.52113  
      	     	          	           	          	           	             	                                      	 0.49826   0.18607  -0.84663   0.16230  
      	     	          	           	          	           	             	                                      	 0.07003   0.99303   0.29964  -1.36270  

  #29	76   	-31490.13036	Yes        	4        	0.570    	0.000    	 0.19343   0.31895   0.32445   0.16317	-1.24003   0.25079   0.91905   0.07019  
      	     	          	           	          	           	             	                                      	 0.15209  -0.80790   0.16988   0.48593  
