. Sequence file : [run1snps.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.15338  -0.78285   0.19584   0.43363  
      	     	          	           	          	           	             	                                      	 0.55491   0.19532  -0.89519   0.14496  
      	     	          	           	          	           	             	                                      	 0.11423   0.79980   0.26809  -1.18213  

  #47	154   	-140727.36406	Yes        	4        	0.593    	0.000    	 0.17926   0.32621   0.33281   0.16172	-1.31491   0.24474   0.97786   0.09231  
      	     	          	           	          	           	             	                                      	 0.13449  -0.79207   0.21013   0.44744  
      	     	          	           	          	           	             	                                      	 0.52671   0.20597  -0.88225   0.14956  
      	     	          	           	          	           	             	                                      	 0.10232   0.90256   0.30780  -1.31268  

  #48	154   	-138838.69962	Yes        	4        	0.607    	0.000    	 0.18060   0.31888   0.32853   0.17199	-1.26845   0.24944   0.92911   0.08990  
      	     	          	           	          	           	             	                                      	 0.14127  -0.82411   0.20030   0.48255  
      	     	          	           	          	           	             	                                      	 0.51073   0.19441  -0.86702   0.16187  
      	     	          	           	          	           	             	                                      	 0.09440   0.89465   0.30920  -1.29824  

  #49	154   	-140584.98357	Yes        	4        	0.576    	0.000    	 0.18068   0.32293   0.32366   0.17274	-1.26893   0.27885   0.88626   0.10382  
      	     	          	           	          	           	             	                                      	 0.15602  -0.85108   0.21538   0.47969  
      	     	          	           	          	           	             	                                      	 0.49474   0.21489  -0.85262   0.14298  
      	     	          	           	          	           	             	                                      	 0.10859   0.89676   0.26791  -1.27326  

  #50	154   	-140483.48141	Yes        	4        	0.594    	0.000    	 0.18414   0.31925   0.32706   0.16955	-1.23559   0.30957   0.84573   0.08029  
      	     	          	           	          	           	             	                                      	 0.17855  -0.89463   0.19479   0.52128  
      	     	          	           	          	           	             	                                      	 0.47616   0.19014  -0.80044   0.13414  
      	     	          	           	          	           	             	                                      	 0.08720   0.98155   0.25876  -1.32751  

  #51	154   	-139533.56021	Yes        	4        	0.589    	0.000    	 0.18026   0.32791   0.31744   0.17439	-1.27712   0.25639   0.92050   0.10023  
      	     	          	           	          	           	             	                                      	 0.14094  -0.81753   0.19273   0.48385  
      	     	          	           	          	           	             	                                      	 0.52271   0.19909  -0.87278   0.15098  
      	     	          	           	          	           	             	                                      	 0.10361   0.90981   0.27483  -1.28825  

  #52	154   	-136725.45316	Yes        	4        	0.618    	0.000    	 0.18247   0.32529   0.32120   0.17104	-1.28002   0.29700   0.88790   0.09512  
      	     	          	           	          	           	             	                                      	 0.16661  -0.81675   0.19674   0.45340  
      	     	          	           	          	           	             	                                      	 0.50442   0.19924  -0.87473   0.17106  
      	     	          	           	          	           	             	                                      	 0.10148   0.86230   0.32125  -1.28502  

  #53	154   	-136297.34816	Yes        	4        	0.624    	0.000    	 0.17751   0.32078   0.32557   0.17614	-1.34023   0.26335   1.00305   0.07383  
      	     	          	           	          	           	             	                                      	 0.14573  -0.79926   0.19281   0.46071  
      	     	          	           	          	           	             	                                      	 0.54690   0.18998  -0.89800   0.16112  
      	     	          	           	          	           	             	                                      	 0.07441   0.83904   0.29780  -1.21124  

  #54	154   	-140059.80669	Yes        	4        	0.585    	0.000    	 0.18413   0.32269   0.32080   0.17239	-1.29715   0.25454   0.95222   0.09039  
      	     	          	           	          	           	             	                                      	 0.14525  -0.77109   0.19923   0.42661  
      	     	          	           	          	           	             	                                      	 0.54655   0.20041  -0.93151   0.18456  
      	     	          	           	          	           	             	                                      	 0.09654   0.79857   0.34345  -1.23856  

